Question,Answer
What is Python?,"A high-level, interpreted programming language."
Who created Python?,Guido van Rossum.
When was Python first released?,1991
Is Python free?,"Yes, it's open-source."
What does 'Python' mean?,Named after 'Monty PythonÉ??s Flying Circus'.
What is PEP 8?,Python's official style guide.
Is Python compiled or interpreted?,Interpreted.
What is a variable in Python?,A name that refers to a value.
How do you print in Python?,Use the print() function.
How do you take input in Python?,Use the input() function.
What is a list?,"A mutable, ordered collection."
What is a tuple?,"An immutable, ordered collection."
What is a dictionary?,A key-value mapping.
What is a set?,An unordered collection of unique items.
How do you comment in Python?,Use # for single-line comments.
What is indentation?,Defines code blocks.
What is an if statement?,Used for conditional execution.
What is a for loop?,Iterates over a sequence.
What is a while loop?,Repeats as long as a condition is true.
What is break?,Exits the loop.
What is continue?,Skips to the next iteration.
What is pass?,A null statement that does nothing.
How do you define a function?,Using def keyword.
What is return?,Sends a value back from a function.
What are default arguments?,Function parameters with default values.
What is a module?,A file with Python code.
How do you import a module?,Using import keyword.
What is __name__ == '__main__'?,Checks if script is run directly.
What is a class?,A blueprint for objects.
What is self?,Refers to the instance of the class.
What is inheritance?,Deriving a class from another.
What is polymorphism?,Same interface for different types.
What is encapsulation?,Restricting access to data.
What is a generator?,Function that yields values.
What is a decorator?,Function that modifies another.
What is a lambda function?,An anonymous function.
What is list comprehension?,Concise way to create lists.
What is with used for?,Context management.
What is try/except?,Error handling.
What is finally?,Code that runs after try/except.
What is raise?,Raises an exception.
How do you install Python?,Download from python.org.
How to check Python version?,Use python --version.
What is pip?,Python package installer.
How to install a package?,Use pip install package_name.
What is venv?,Tool to create virtual environments.
How to activate venv?,Use source or Scripts/activate.
What is NumPy?,Library for numerical computing.
What is Pandas?,Library for data analysis.
What is Matplotlib?,Library for plotting.
What is Django?,Python web framework.
How do I submit bug reports and patches for Python?,"To report a bug or submit a patch, use the issue tracker at https://github.com/python/cpython/issues. For more information on how Python is developed, consult the Python DeveloperÉ??s Guide. Are there any published articles about Python that I can reference? ItÉ??s probably best to cite your favorite book about Python. The very first article about Python was written in 1991 and is now quite outdated. Guido van Rossum and Jelke de Boer, É??Interactively Testing Remote Servers Using the Python Programming LanguageÉ?ù, CWI Quarterly, Volume 4, Issue 4 (December 1991), Amsterdam, pp 283É??303. Are there any books on Python? Yes, there are many, and more are being published. See the python.org wiki at https://wiki.python.org/moin/PythonBooks for a list. You can also search online bookstores for É??PythonÉ?ù and filter out the Monty Python references; or perhaps search for É??PythonÉ?ù and É??languageÉ?ù. Where in the world is www.python.org located? The Python projectÉ??s infrastructure is located all over the world and is managed by the Python Infrastructure Team. Details here."
Why is it called Python?,"When he began implementing Python, Guido van Rossum was also reading the published scripts from É??Monty PythonÉ??s Flying CircusÉ?ù, a BBC comedy series from the 1970s. Van Rossum thought he needed a name that was short, unique, and slightly mysterious, so he decided to call the language Python. Do I have to like É??Monty PythonÉ??s Flying CircusÉ?ù? No, but it helps. :) Python in the real world"
How stable is Python?,"Very stable. New, stable releases have been coming out roughly every 6 to 18 months since 1991, and this seems likely to continue. As of version 3.9, Python will have a new feature release every 12 months (PEP 602). The developers issue bugfix releases of older versions, so the stability of existing releases gradually improves. Bugfix releases, indicated by a third component of the version number (e.g. 3.5.3, 3.6.2), are managed for stability; only fixes for known problems are included in a bugfix release, and itÉ??s guaranteed that interfaces will remain the same throughout a series of bugfix releases. The latest stable releases can always be found on the Python download page. Python 3.x is the recommended version and supported by most widely used libraries. Python 2.x is not maintained anymore."
How many people are using Python?,"There are probably millions of users, though itÉ??s difficult to obtain an exact count. Python is available for free download, so there are no sales figures, and itÉ??s available from many different sites and packaged with many Linux distributions, so download statistics donÉ??t tell the whole story either. The comp.lang.python newsgroup is very active, but not all Python users post to the group or even read it. Have any significant projects been done in Python? See https://www.python.org/about/success for a list of projects that use Python. Consulting the proceedings for past Python conferences will reveal contributions from many different companies and organizations. High-profile Python projects include the Mailman mailing list manager and the Zope application server. Several Linux distributions, most notably Red Hat, have written part or all of their installer and system administration software in Python. Companies that use Python internally include Google, Yahoo, and Lucasfilm Ltd."
What new developments are expected for Python in the future?,"See https://peps.python.org/ for the Python Enhancement Proposals (PEPs). PEPs are design documents describing a suggested new feature for Python, providing a concise technical specification and a rationale. Look for a PEP titled É??Python X.Y Release ScheduleÉ?ù, where X.Y is a version that hasnÉ??t been publicly released yet. New development is discussed on the python-dev mailing list."
Is it reasonable to propose incompatible changes to Python?,"In general, no. There are already millions of lines of Python code around the world, so any change in the language that invalidates more than a very small fraction of existing programs has to be frowned upon. Even if you can provide a conversion program, thereÉ??s still the problem of updating all documentation; many books have been written about Python, and we donÉ??t want to invalidate them all at a single stroke. Providing a gradual upgrade path is necessary if a feature has to be changed. PEP 5 describes the procedure followed for introducing backward-incompatible changes while minimizing disruption for users."
