,Question,Answer
0,What is Python?,"A high-level, interpreted programming language."
1,Who created Python?,Guido van Rossum.
2,When was Python first released?,1991
3,Is Python free?,"Yes, it's open-source."
4,What does 'Python' mean?,Named after 'Monty Python??s Flying Circus'.
5,What is PEP 8?,Python's official style guide.
6,Is Python compiled or interpreted?,Interpreted.
7,What is a variable in Python?,A name that refers to a value.
8,How do you print in Python?,Use the print() function.
9,How do you take input in Python?,Use the input() function.
10,What is a list?,"A mutable, ordered collection."
11,What is a tuple?,"An immutable, ordered collection."
12,What is a dictionary?,A key-value mapping.
13,What is a set?,An unordered collection of unique items.
14,How do you comment in Python?,Use # for single-line comments.
15,What is indentation?,Defines code blocks.
16,What is an if statement?,Used for conditional execution.
17,What is a for loop?,Iterates over a sequence.
18,What is a while loop?,Repeats as long as a condition is true.
19,What is break?,Exits the loop.
20,What is continue?,Skips to the next iteration.
21,What is pass?,A null statement that does nothing.
22,How do you define a function?,Using def keyword.
23,What is return?,Sends a value back from a function.
24,What are default arguments?,Function parameters with default values.
25,What is a module?,A file with Python code.
26,How do you import a module?,Using import keyword.
27,What is __name__ == '__main__'?,Checks if script is run directly.
28,What is a class?,A blueprint for objects.
29,What is self?,Refers to the instance of the class.
30,What is inheritance?,Deriving a class from another.
31,What is polymorphism?,Same interface for different types.
32,What is encapsulation?,Restricting access to data.
33,What is a generator?,Function that yields values.
34,What is a decorator?,Function that modifies another.
35,What is a lambda function?,An anonymous function.
36,What is list comprehension?,Concise way to create lists.
37,What is with used for?,Context management.
38,What is try/except?,Error handling.
39,What is finally?,Code that runs after try/except.
40,What is raise?,Raises an exception.
41,How do you install Python?,Download from python.org.
42,How to check Python version?,Use python --version.
43,What is pip?,Python package installer.
44,How to install a package?,Use pip install package_name.
45,What is venv?,Tool to create virtual environments.
46,How to activate venv?,Use source or Scripts/activate.
47,What is NumPy?,Library for numerical computing.
48,What is Pandas?,Library for data analysis.
49,What is Matplotlib?,Library for plotting.
50,What is Django?,Python web framework.
51,How do I submit bug reports and patches for Python?,"To report a bug or submit a patch, use the issue tracker at https://github.com/python/cpython/issues. For more information on how Python is developed, consult the Python Developer??s Guide. Are there any published articles about Python that I can reference? It??s probably best to cite your favorite book about Python. The very first article about Python was written in 1991 and is now quite outdated. Guido van Rossum and Jelke de Boer, ??Interactively Testing Remote Servers Using the Python Programming Language?, CWI Quarterly, Volume 4, Issue 4 (December 1991), Amsterdam, pp 283??303. Are there any books on Python? Yes, there are many, and more are being published. See the python.org wiki at https://wiki.python.org/moin/PythonBooks for a list. You can also search online bookstores for ??Python? and filter out the Monty Python references; or perhaps search for ??Python? and ??language?. Where in the world is www.python.org located? The Python project??s infrastructure is located all over the world and is managed by the Python Infrastructure Team. Details here."
52,Why is it called Python?,"When he began implementing Python, Guido van Rossum was also reading the published scripts from ??Monty Python??s Flying Circus?, a BBC comedy series from the 1970s. Van Rossum thought he needed a name that was short, unique, and slightly mysterious, so he decided to call the language Python. Do I have to like ??Monty Python??s Flying Circus?? No, but it helps. :) Python in the real world"
53,How stable is Python?,"Very stable. New, stable releases have been coming out roughly every 6 to 18 months since 1991, and this seems likely to continue. As of version 3.9, Python will have a new feature release every 12 months (PEP 602). The developers issue bugfix releases of older versions, so the stability of existing releases gradually improves. Bugfix releases, indicated by a third component of the version number (e.g. 3.5.3, 3.6.2), are managed for stability; only fixes for known problems are included in a bugfix release, and it??s guaranteed that interfaces will remain the same throughout a series of bugfix releases. The latest stable releases can always be found on the Python download page. Python 3.x is the recommended version and supported by most widely used libraries. Python 2.x is not maintained anymore."
54,How many people are using Python?,"There are probably millions of users, though it??s difficult to obtain an exact count. Python is available for free download, so there are no sales figures, and it??s available from many different sites and packaged with many Linux distributions, so download statistics don??t tell the whole story either. The comp.lang.python newsgroup is very active, but not all Python users post to the group or even read it. Have any significant projects been done in Python? See https://www.python.org/about/success for a list of projects that use Python. Consulting the proceedings for past Python conferences will reveal contributions from many different companies and organizations. High-profile Python projects include the Mailman mailing list manager and the Zope application server. Several Linux distributions, most notably Red Hat, have written part or all of their installer and system administration software in Python. Companies that use Python internally include Google, Yahoo, and Lucasfilm Ltd."
55,What new developments are expected for Python in the future?,"See https://peps.python.org/ for the Python Enhancement Proposals (PEPs). PEPs are design documents describing a suggested new feature for Python, providing a concise technical specification and a rationale. Look for a PEP titled ??Python X.Y Release Schedule?, where X.Y is a version that hasn??t been publicly released yet. New development is discussed on the python-dev mailing list."
56,Is it reasonable to propose incompatible changes to Python?,"In general, no. There are already millions of lines of Python code around the world, so any change in the language that invalidates more than a very small fraction of existing programs has to be frowned upon. Even if you can provide a conversion program, there??s still the problem of updating all documentation; many books have been written about Python, and we don??t want to invalidate them all at a single stroke. Providing a gradual upgrade path is necessary if a feature has to be changed. PEP 5 describes the procedure followed for introducing backward-incompatible changes while minimizing disruption for users."
